ashbGoss_ATCC10895	Eremothecium gossypii ATCC 10895	eukaryota	Fungi	33169
aspeFumi_AF293	Aspergillus fumigatus Af293	eukaryota	Fungi	746128
aspeNidu_FGSC_A4	Aspergillus nidulans FGSC A4	eukaryota	Fungi	162425
aspeOryz_RIB40	Aspergillus oryzae RIB40	eukaryota	Fungi	5062
botrCine_B05_10	Botrytis cinerea B05.10	eukaryota	Fungi	40559
candAlbi_WO_1	Candida albicans WO-1	eukaryota	Fungi	5476
candDubl_CD36	Candida dubliniensis CD36	eukaryota	Fungi	42374
candGlab_CBS_138	Candida glabrata CBS 138	eukaryota	Fungi	5478
candOrth_CO_90_125	Candida orthopsilosis Co 90-125	eukaryota	Fungi	1136231
chaeTher_VAR_THERMOPHILUM_DSM1	Chaetomium thermophilum var. thermophilum DSM 1495	eukaryota	Fungi	209285
crypGatt_WM276	Cryptococcus gattii WM276	eukaryota	Fungi	367775
crypNeof_VAR_GRUBII_H99	Cryptococcus neoformans var. grubii H99	eukaryota	Fungi	235443
crypNeof_VAR_NEOFORMANS_B_3501	Cryptococcus neoformans var. neoformans B-3501A	eukaryota	Fungi	283643
crypNeof_VAR_NEOFORMANS_JEC21	Cryptococcus neoformans var. neoformans JEC21	eukaryota	Fungi	214684
cybeJadi_NBRC_0988_NBRC0988	Cyberlindnera jadinii NBRC 0988 NBRC0988	eukaryota	Fungi	1128122
debaHans_CBS767	Debaryomyces hansenii CBS767	eukaryota	Fungi	4959
enceCuni_GB_M1	Encephalitozoon cuniculi GB-M1	eukaryota	Fungi	6035
enceHell_ATCC50504	Encephalitozoon hellem ATCC 50504	eukaryota	Fungi	27973
enceInte_ATCC50506	Encephalitozoon intestinalis ATCC 50506	eukaryota	Fungi	58839
enceRoma_SJ_2008	Encephalitozoon romaleae SJ-2008	eukaryota	Fungi	571949
eremCymb_DBVPG#7215	Eremothecium cymbalariae DBVPG#7215	eukaryota	Fungi	45285
flamVelu_KACC42780	Flammulina velutipes KACC42780	eukaryota	Fungi	38945
fusaGram_PH_1_NRRL_31084	Fusarium graminearum PH-1 NRRL 31084	eukaryota	Fungi	5518
fusaGram_CS3005	Fusarium graminearum CS3005	eukaryota	Fungi	1450154
